country	Nominee	Nominator	Cities	Universities
AFGHANISTAN	1	0	0	0
ALGERIA	12	39	1	2
ARGENTINA	102	84	5	9
AUSTRALIA	30	66	7	8
AUSTRIA	583	533	7	13
BANGLADESH	0	2	1	1
BELGIUM	443	444	8	21
BOLIVIA	1	3	0	1
BRAZIL	103	65	8	16
BULGARIA	8	13	1	2
CAMEROON	0	1	0	0
CANADA	76	125	14	22
CENTRAL AFRICAN REPUBLIC	0	1	0	0
CHILE	35	35	1	3
CHINA	13	13	7	7
COLOMBIA	3	10	2	3
COSTA RICA	0	1	0	0
CROATIA	0	8	1	1
CUBA	25	24	1	6
CZECH REPUBLIC	173	246	7	17
DENMARK	423	442	7	18
DOMINICAN REPUBLIC	14	10	1	1
ECUADOR	2	6	1	1
EGYPT	14	7	2	8
EL SALVADOR	10	9	1	0
ESTONIA	7	18	3	2
ETHIOPIA	9	3	1	1
FINLAND	164	354	5	10
FRANCE	2661	2271	51	84
GERMANY	3330	2577	91	123
GREECE	82	94	4	7
GUATEMALA	0	1	1	0
HAITI	14	1	1	0
HOLY SEE (VATICAN CITY STATE)	0	1	1	1
HONG KONG	0	1	1	1
HUNGARY	99	161	4	10
ICELAND	13	17	1	2
INDIA	131	115	12	23
IRAN, ISLAMIC REPUBLIC OF	8	3	1	1
IRELAND	32	35	4	6
ISRAEL	30	29	3	5
ITALY	778	838	36	55
JAPAN	176	201	10	26
KOREA, REPUBLIC OF	1	1	1	1
LAOS	0	1	0	0
LATVIA	5	6	1	0
LEBANON	1	4	1	3
LIBERIA	2	1	1	0
LITHUANIA	0	4	1	1
LUXEMBOURG	3	2	1	0
MADAGASCAR	0	2	0	0
MALAYSIA	1	1	1	0
MEXICO	9	14	2	4
MYANMAR	0	1	0	0
NETHERLANDS	470	486	17	17
NEW ZEALAND	4	13	3	3
NICARAGUA	1	4	1	1
NIGERIA	0	1	0	0
NORWAY	307	674	9	13
PAKISTAN	0	6	2	2
PANAMA	6	5	3	4
PARAGUAY	0	1	1	0
PERU	24	20	1	4
PHILIPPINES	4	7	1	6
POLAND	253	274	14	16
PORTUGAL	61	75	3	9
PUERTO RICO	0	9	1	2
ROMANIA	36	88	9	5
RUSSIAN FEDERATION	235	84	11	17
SAUDI ARABIA	0	2	0	0
SERBIA	0	9	2	0
SIERRA LEONE	0	1	0	0
SINGAPORE	0	1	0	1
SLOVAKIA	0	14	2	0
SLOVENIA	0	1	1	0
SOUTH AFRICA	27	24	4	5
SPAIN	236	296	17	29
SRI LANKA	5	3	1	1
SUDAN	1	0	1	1
SWEDEN	717	1577	19	30
SWITZERLAND	902	778	20	27
SYRIAN ARAB REPUBLIC	1	2	0	1
THAILAND	0	2	1	0
TOGO	0	1	0	0
TUNISIA	13	13	1	1
TURKEY	3	56	2	3
U.S.S.R.	202	184	18	28
UKRAINE	3	14	4	0
UNITED KINGDOM	2033	1276	46	97
UNITED STATES	4560	2458	140	225
URUGUAY	8	34	1	2
VENEZUELA	13	33	2	5
VIETNAM	6	2	2	1
YUGOSLAVIA	19	60	4	5
